scheme,control,n_benign,tool,mech,n_disease,tier,cutoff,sens,spec,spec_lo,spec_hi,fp,lr,lr_lo,lr_hi,lr_ceiling,lr_required
v26 (as submitted),gnomAD AF>=1e-4,42,REVEL,GoF,43,Supporting,0.644,0.9534883720930233,0.7619047619047619,0.6147216491768113,0.8651917918898182,10,4.004651162790697,2.3220079194312397,6.906621980673131,4.2,2.08
v26 (as submitted),gnomAD AF>=1e-4,42,REVEL,GoF,43,Moderate,0.773,0.7906976744186046,0.9047619047619048,0.7793460477494668,0.9623383611716879,4,8.30232558139535,3.227700837756261,21.355327994835918,10.5,4.3
v26 (as submitted),gnomAD AF>=1e-4,42,REVEL,GoF,43,Strong,0.932,0.3953488372093023,0.9523809523809523,0.8420986468452026,0.9868427513607937,2,8.302325581395339,2.0429708518480854,33.73939965767899,21.0,18.7
v26 (as submitted),gnomAD AF>=1e-5,376,AM,LoF,202,Supporting,0.564,0.7524752475247525,0.7819148936170213,0.7374373074066567,0.8206900804307997,82,3.450374305723255,2.8049604851872116,4.244296100592182,4.585365853658536,2.08
v26 (as submitted),gnomAD AF>=1e-5,376,AM,LoF,202,Moderate,0.74,0.6683168316831684,0.8430851063829787,0.802872818542134,0.8763576817506197,59,4.259103876489345,3.3049410825618177,5.488741063022342,6.372881355932203,4.3
v26 (as submitted),gnomAD AF>=1e-5,376,AM,LoF,202,Strong,0.89,0.5099009900990099,0.898936170212766,0.864321935323445,0.9254809719937103,38,5.045336112558624,3.6258006704689394,7.020633179318132,9.894736842105264,18.7
v26 (as submitted),gnomAD AF>=1e-5,376,AM,GoF,45,Supporting,0.564,0.6444444444444445,0.7819148936170213,0.7374373074066567,0.8206900804307997,82,2.9550135501355013,2.212534516294198,3.9466525910338937,4.585365853658536,2.08
v26 (as submitted),gnomAD AF>=1e-5,376,AM,GoF,45,Moderate,0.74,0.5555555555555556,0.8430851063829787,0.802872818542134,0.8763576817506197,59,3.540489642184558,2.492486407885973,5.029141529821974,6.372881355932203,4.3
v26 (as submitted),gnomAD AF>=1e-5,376,AM,GoF,45,Strong,0.89,0.37777777777777777,0.898936170212766,0.864321935323445,0.9254809719937103,38,3.7380116959064322,2.3104091918205776,6.047730197836912,9.894736842105264,18.7
v26 (as submitted),gnomAD AF>=1e-5,423,REVEL,LoF,163,Supporting,0.644,0.9570552147239264,0.6619385342789598,0.6155798439153569,0.7053823116008814,143,2.8310094813162294,2.467916266052206,3.2475229380950346,2.958041958041958,2.08
v26 (as submitted),gnomAD AF>=1e-5,423,REVEL,LoF,163,Moderate,0.773,0.901840490797546,0.7825059101654847,0.7407435928791245,0.8191830871820504,92,4.146505734862631,3.4368071744635587,5.002756609972559,4.5978260869565215,4.3
v26 (as submitted),gnomAD AF>=1e-5,423,REVEL,LoF,163,Strong,0.932,0.4723926380368098,0.933806146572104,0.9059946034778437,0.9538091269926634,28,7.136503067484664,4.817393672885832,10.572039465836076,15.107142857142858,18.7
v26 (as submitted),gnomAD AF>=1e-5,423,REVEL,GoF,43,Supporting,0.644,0.9534883720930233,0.6619385342789598,0.6155798439153569,0.7053823116008814,143,2.8204586111562855,2.430513227520535,3.2729658440743594,2.958041958041958,2.08
v26 (as submitted),gnomAD AF>=1e-5,423,REVEL,GoF,43,Moderate,0.773,0.7906976744186046,0.7825059101654847,0.7407435928791245,0.8191830871820504,92,3.635490394337715,2.867436549832513,4.609270398012394,4.5978260869565215,4.3
v26 (as submitted),gnomAD AF>=1e-5,423,REVEL,GoF,43,Strong,0.932,0.3953488372093023,0.933806146572104,0.9059946034778437,0.9538091269926634,28,5.972591362126247,3.5702559045256286,9.991397964982761,15.107142857142858,18.7
